2014/1/1 1:00:00	-3.7	78
2014/1/1 1:00:00	-3.1	76
2014/1/1 2:00:00	-1.6	74
2014/1/1 3:00:00	-0.7	71
2014/1/1 4:00:00	-1.2	80
2014/1/1 5:00:00	-0.7	79
2014/1/1 6:00:00	0.4	94
2014/1/1 7:00:00	1.8	72
2014/1/1 8:00:00	0.6	88
2014/1/1 9:00:00	0.6	90
2014/1/1 10:00:00	0.7	89
2014/1/1 11:00:00	1	79
2014/1/1 12:00:00	1.3	65
2014/1/1 13:00:00	0.2	67
2014/1/1 14:00:00	0.4	61
2014/1/1 15:00:00	-2	92
2014/1/1 16:00:00	-1.9	87
2014/1/1 17:00:00	-2	82
2014/1/1 18:00:00	-1.9	79
2014/1/1 19:00:00	-2.4	84
2014/1/1 20:00:00	-2.6	88
2014/1/1 21:00:00	-2.7	89
2014/1/1 22:00:00	-2.7	90
2014/1/1 23:00:00	-2.9	90
2014/1/2 00:00:00	-3	86
2014/1/2 1:00:00	-2.3	73
2014/1/2 2:00:00	-3.5	87
2014/1/2 3:00:00	-3.2	76
2014/1/2 4:00:00	-3	68
2014/1/2 5:00:00	-3.9	82
2014/1/2 6:00:00	-4	82
2014/1/2 7:00:00	-3.7	63
2014/1/2 8:00:00	-3.5	63
2014/1/2 9:00:00	-4.3	85
2014/1/2 10:00:00	-4.3	90
2014/1/2 11:00:00	-3.5	77
2014/1/2 12:00:00	-2.3	53
2014/1/2 13:00:00	-2.9	61
2014/1/2 14:00:00	-2.4	45
2014/1/2 15:00:00	-4.4	91
2014/1/2 16:00:00	-3.9	72
2014/1/2 17:00:00	-4.3	75
2014/1/2 18:00:00	-4.2	68
2014/1/2 19:00:00	-5.1	86
2014/1/2 20:00:00	-4.6	75
2014/1/2 21:00:00	-4.4	71
2014/1/2 22:00:00	-4.7	86
2014/1/2 23:00:00	-4.5	78
2014/1/3 00:00:00	-4.2	68
2014/1/3 1:00:00	-4	65
2014/1/3 2:00:00	-4.1	66
2014/1/3 3:00:00	-3.3	58
2014/1/3 4:00:00	-3.4	64
2014/1/3 5:00:00	-2.8	58
2014/1/3 6:00:00	-3.3	64
2014/1/3 7:00:00	-3.5	70
2014/1/3 8:00:00	-4.1	75
2014/1/3 9:00:00	-2.8	75
2014/1/3 10:00:00	-1.7	76
2014/1/3 11:00:00	-1.4	78
2014/1/3 12:00:00	-0.6	74
2014/1/3 13:00:00	0.8	62
2014/1/3 14:00:00	1.3	60
2014/1/3 15:00:00	0	91
2014/1/3 16:00:00	0.1	95
2014/1/3 17:00:00	-0.7	92
2014/1/3 18:00:00	-1.2	88
2014/1/3 19:00:00	-1.5	90
2014/1/3 20:00:00	-1.3	78
2014/1/3 21:00:00	-1.7	69
2014/1/3 22:00:00	-1.8	65
2014/1/3 23:00:00	-2.4	63
2014/1/4 00:00:00	-3	78
2014/1/4 1:00:00	-3.2	84
2014/1/4 2:00:00	-3.3	71
2014/1/4 3:00:00	-3.5	67
2014/1/4 4:00:00	-3.4	63
2014/1/4 5:00:00	-3.9	70
2014/1/4 6:00:00	-4.4	77
2014/1/4 7:00:00	-4.7	65
2014/1/4 8:00:00	-4.1	59
2014/1/4 9:00:00	-4.9	87
2014/1/4 10:00:00	-4.2	88
2014/1/4 11:00:00	-2.2	67
2014/1/4 12:00:00	-2.8	76
2014/1/4 13:00:00	-3.3	85
2014/1/4 14:00:00	-2.3	67
2014/1/4 15:00:00	-4.1	93
2014/1/4 16:00:00	-3.9	93
2014/1/4 17:00:00	-4.3	94
2014/1/4 18:00:00	-4.2	94
2014/1/4 19:00:00	-4.1	79
2014/1/4 20:00:00	-4.6	85
2014/1/4 21:00:00	-5.2	91
2014/1/4 22:00:00	-5.4	88
2014/1/4 23:00:00	-6.1	85
2014/1/5 00:00:00	-5.8	78
2014/1/5 1:00:00	-6.1	83
2014/1/5 2:00:00	-6.3	78
2014/1/5 3:00:00	-6.9	70
2014/1/5 4:00:00	-6.2	64
2014/1/5 5:00:00	-6.1	69
2014/1/5 6:00:00	-6.1	76
2014/1/5 7:00:00	-5.8	89
2014/1/5 8:00:00	-4.8	83
2014/1/5 9:00:00	-4.8	93
2014/1/5 10:00:00	-3.8	80
2014/1/5 11:00:00	-3.1	80
2014/1/5 12:00:00	-3.3	87
2014/1/5 13:00:00	-2.6	78
2014/1/5 14:00:00	-1.3	62
2014/1/5 15:00:00	-1.1	60
2014/1/5 16:00:00	-2.2	68
2014/1/5 17:00:00	-2.8	71
2014/1/5 18:00:00	-3.3	72
2014/1/5 19:00:00	-3.4	72
2014/1/5 20:00:00	-3	74
2014/1/5 21:00:00	-3.3	75
2014/1/5 22:00:00	-3.3	76
2014/1/5 23:00:00	-3.5	76
2014/1/6 00:00:00	-3.5	75
2014/1/6 1:00:00	-3.9	83
2014/1/6 2:00:00	-4.1	87
2014/1/6 3:00:00	-4.1	79
2014/1/6 4:00:00	-4	82
2014/1/6 5:00:00	-4.3	87
2014/1/6 6:00:00	-3.9	81
2014/1/6 7:00:00	-3.9	87
2014/1/6 8:00:00	-3.6	86
2014/1/6 9:00:00	-3.1	70
2014/1/6 10:00:00	-4	77
2014/1/6 11:00:00	-3.1	62
2014/1/6 12:00:00	-2.4	56
2014/1/6 13:00:00	-2.5	57
2014/1/6 14:00:00	-2.8	60
2014/1/6 15:00:00	-4.1	90
2014/1/6 16:00:00	-3	63
2014/1/6 17:00:00	-3.5	63
2014/1/6 18:00:00	-4.5	79
2014/1/6 19:00:00	-3.7	79
2014/1/6 20:00:00	-3.3	76
2014/1/6 21:00:00	-4	88
2014/1/6 22:00:00	-3.2	69
2014/1/6 23:00:00	-2.8	61
2014/1/7 00:00:00	-2.7	60
2014/1/7 1:00:00	-2.1	58
2014/1/7 2:00:00	-2.4	59
2014/1/7 3:00:00	-2.3	62
2014/1/7 4:00:00	-2.3	63
2014/1/7 5:00:00	-3.1	66
2014/1/7 6:00:00	-2.9	65
2014/1/7 7:00:00	-1.8	67
2014/1/7 8:00:00	-1.3	62
2014/1/7 9:00:00	-0.2	58
2014/1/7 10:00:00	0.6	57
2014/1/7 11:00:00	0.9	59
2014/1/7 12:00:00	1.3	61
2014/1/7 13:00:00	0.4	75
2014/1/7 14:00:00	0	81
2014/1/7 15:00:00	-0.5	90
2014/1/7 16:00:00	0.4	84
2014/1/7 17:00:00	0.6	76
2014/1/7 18:00:00	0.6	78
2014/1/7 19:00:00	1.5	69
2014/1/7 20:00:00	1.5	70
2014/1/7 21:00:00	2.3	64
2014/1/7 22:00:00	1.9	71
2014/1/7 23:00:00	2.1	77
2014/1/8 00:00:00	2.3	77
2014/1/8 1:00:00	2	83
2014/1/8 2:00:00	2.1	86
2014/1/8 3:00:00	1.5	91
2014/1/8 4:00:00	1.5	87
2014/1/8 5:00:00	1.8	81
2014/1/8 6:00:00	1.6	82
2014/1/8 7:00:00	1.6	70
2014/1/8 8:00:00	1.7	68
2014/1/8 9:00:00	1.1	72
2014/1/8 10:00:00	1.7	67
2014/1/8 11:00:00	1.3	77
2014/1/8 12:00:00	1.2	74
2014/1/8 13:00:00	1.1	74
2014/1/8 14:00:00	0.5	85
2014/1/8 15:00:00	-0.2	83
2014/1/8 16:00:00	-0.8	75
2014/1/8 17:00:00	-0.8	62
2014/1/8 18:00:00	-0.9	53
2014/1/8 19:00:00	-1.5	53
2014/1/8 20:00:00	-2	55
2014/1/8 21:00:00	-1.8	52
2014/1/8 22:00:00	-2.5	56
2014/1/8 23:00:00	-3.7	77
2014/1/9 00:00:00	-3.5	66
2014/1/9 1:00:00	-4	73
2014/1/9 2:00:00	-4.2	68
2014/1/9 3:00:00	-4.3	68
2014/1/9 4:00:00	-4.7	81
2014/1/9 5:00:00	-4.9	71
2014/1/9 6:00:00	-5.2	84
2014/1/9 7:00:00	-5.2	69
2014/1/9 8:00:00	-4.9	63
2014/1/9 9:00:00	-4.8	69
2014/1/9 10:00:00	-4.4	62
2014/1/9 11:00:00	-4.1	68
2014/1/9 12:00:00	-4.7	71
2014/1/9 13:00:00	-5.6	75
2014/1/9 14:00:00	-5.7	71
2014/1/9 15:00:00	-6.2	57
2014/1/9 16:00:00	-6.6	58
2014/1/9 17:00:00	-7.3	62
2014/1/9 18:00:00	-7.6	59
2014/1/9 19:00:00	-7.8	56
2014/1/9 20:00:00	-8.4	54
2014/1/9 21:00:00	-8.7	58
2014/1/9 22:00:00	-9	64
2014/1/9 23:00:00	-8.1	72
2014/1/10 00:00:00	-7.9	74
2014/1/10 1:00:00	-7.9	65
2014/1/10 2:00:00	-7.7	61
2014/1/10 3:00:00	-7.5	63
2014/1/10 4:00:00	-8.1	66
2014/1/10 5:00:00	-8.3	65
2014/1/10 6:00:00	-8.7	69
2014/1/10 7:00:00	-8.6	64
2014/1/10 8:00:00	-9.2	59
2014/1/10 9:00:00	-8.1	55
2014/1/10 10:00:00	-7.3	53
2014/1/10 11:00:00	-7.5	72
2014/1/10 12:00:00	-6.2	56
2014/1/10 13:00:00	-6.8	60
2014/1/10 14:00:00	-7.5	68
2014/1/10 15:00:00	-7.4	60
2014/1/10 16:00:00	-7.9	60
2014/1/10 17:00:00	-8.2	66
2014/1/10 18:00:00	-8.1	69
2014/1/10 19:00:00	-8.3	73
2014/1/10 20:00:00	-8.2	73
2014/1/10 21:00:00	-8.5	86
2014/1/10 22:00:00	-8.1	70
2014/1/10 23:00:00	-8.4	74
2014/1/11 00:00:00	-8.1	80
2014/1/11 1:00:00	-8	75
2014/1/11 2:00:00	-7.9	74
2014/1/11 3:00:00	-7.9	75
2014/1/11 4:00:00	-8	83
2014/1/11 5:00:00	-8	87
2014/1/11 6:00:00	-7.7	84
2014/1/11 7:00:00	-7.8	84
2014/1/11 8:00:00	-7.5	77
2014/1/11 9:00:00	-7.2	80
2014/1/11 10:00:00	-7.1	84
2014/1/11 11:00:00	-6.7	83
2014/1/11 12:00:00	-6.5	73
2014/1/11 13:00:00	-6.6	81
2014/1/11 14:00:00	-7	83
2014/1/11 15:00:00	-7.3	76
2014/1/11 16:00:00	-7.4	73
2014/1/11 17:00:00	-7.7	77
2014/1/11 18:00:00	-7.7	82
2014/1/11 19:00:00	-7.3	70
2014/1/11 20:00:00	-7.5	73
2014/1/11 21:00:00	-7.3	80
2014/1/11 22:00:00	-6.7	74
2014/1/11 23:00:00	-6.4	72
2014/1/12 00:00:00	-6.3	77
2014/1/12 1:00:00	-5.9	74
2014/1/12 2:00:00	-6	80
2014/1/12 3:00:00	-5.5	57
2014/1/12 4:00:00	-6.1	68
2014/1/12 5:00:00	-6.5	73
2014/1/12 6:00:00	-6.5	78
2014/1/12 7:00:00	-6.7	86
2014/1/12 8:00:00	-6.2	82
2014/1/12 9:00:00	-5.9	89
2014/1/12 10:00:00	-5.8	93
2014/1/12 11:00:00	-5.4	93
2014/1/12 12:00:00	-5.4	90
2014/1/12 13:00:00	-5.8	87
2014/1/12 14:00:00	-5.5	79
2014/1/12 15:00:00	-5.9	84
2014/1/12 16:00:00	-6	75
2014/1/12 17:00:00	-6.6	80
2014/1/12 18:00:00	-6.9	85
2014/1/12 19:00:00	-6.9	77
2014/1/12 20:00:00	-8.4	85
2014/1/12 21:00:00	-8.9	62
2014/1/12 22:00:00	-9.6	79
2014/1/12 23:00:00	-9.5	81
2014/1/13 00:00:00	-8.9	80
2014/1/13 1:00:00	-8.9	71
2014/1/13 2:00:00	-9.1	86
2014/1/13 3:00:00	-9.4	87
2014/1/13 4:00:00	-9.2	87
2014/1/13 5:00:00	-8.9	76
2014/1/13 6:00:00	-8.4	75
2014/1/13 7:00:00	-8.8	87
2014/1/13 8:00:00	-8.1	71
2014/1/13 9:00:00	-8.6	87
2014/1/13 10:00:00	-7.3	71
2014/1/13 11:00:00	-7.6	77
2014/1/13 12:00:00	-6.8	69
2014/1/13 13:00:00	-7.5	79
2014/1/13 14:00:00	-7.8	87
2014/1/13 15:00:00	-7	67
2014/1/13 16:00:00	-8.1	80
2014/1/13 17:00:00	-8.2	83
2014/1/13 18:00:00	-8	72
2014/1/13 19:00:00	-8.2	63
2014/1/13 20:00:00	-8.6	64
2014/1/13 21:00:00	-8.4	65
2014/1/13 22:00:00	-8.7	66
2014/1/13 23:00:00	-8.1	69
2014/1/14 00:00:00	-8.2	78
2014/1/14 1:00:00	-7.2	67
2014/1/14 2:00:00	-7.3	76
2014/1/14 3:00:00	-7.6	89
2014/1/14 4:00:00	-6.7	72
2014/1/14 5:00:00	-7.2	74
2014/1/14 6:00:00	-6.5	63
2014/1/14 7:00:00	-6.7	62
2014/1/14 8:00:00	-6.1	62
2014/1/14 9:00:00	-5.1	66
2014/1/14 10:00:00	-3.8	61
2014/1/14 11:00:00	-4.3	70
2014/1/14 12:00:00	-3.8	66
2014/1/14 13:00:00	-4.6	82
2014/1/14 14:00:00	-3.4	63
2014/1/14 15:00:00	-4.2	69
2014/1/14 16:00:00	-4.9	70
2014/1/14 17:00:00	-5.7	74
2014/1/14 18:00:00	-5.2	72
2014/1/14 19:00:00	-5.5	82
2014/1/14 20:00:00	-5	83
2014/1/14 21:00:00	-5.5	84
2014/1/14 22:00:00	-5.7	86
2014/1/14 23:00:00	-5.8	85
2014/1/15 00:00:00	-5.6	78
2014/1/15 1:00:00	-5.8	74
2014/1/15 2:00:00	-6	86
2014/1/15 3:00:00	-6.1	75
2014/1/15 4:00:00	-5.7	71
2014/1/15 5:00:00	-5.9	74
2014/1/15 6:00:00	-5.8	81
2014/1/15 7:00:00	-6	80
2014/1/15 8:00:00	-5.5	78
2014/1/15 9:00:00	-4.4	71
2014/1/15 10:00:00	-4.5	76
2014/1/15 11:00:00	-3.4	69
2014/1/15 12:00:00	-3	64
2014/1/15 13:00:00	-3.6	73
2014/1/15 14:00:00	-4.2	83
2014/1/15 15:00:00	-4.1	86
2014/1/15 16:00:00	-4.1	77
2014/1/15 17:00:00	-4.4	81
2014/1/15 18:00:00	-5	78
2014/1/15 19:00:00	-5.1	73
2014/1/15 20:00:00	-5.6	89
2014/1/15 21:00:00	-5.3	78
2014/1/15 22:00:00	-5.5	87
2014/1/15 23:00:00	-5.5	81
2014/1/16 00:00:00	-5.3	74
2014/1/16 1:00:00	-5.8	76
2014/1/16 2:00:00	-5.6	70
2014/1/16 3:00:00	-6	65
2014/1/16 4:00:00	-6.7	68
2014/1/16 5:00:00	-6.8	74
2014/1/16 6:00:00	-7	72
2014/1/16 7:00:00	-7.1	77
2014/1/16 8:00:00	-6.1	73
2014/1/16 9:00:00	-5.4	64
2014/1/16 10:00:00	-4.1	54
2014/1/16 11:00:00	-3.6	56
2014/1/16 12:00:00	-4.1	66
2014/1/16 13:00:00	-4.2	71
2014/1/16 14:00:00	-3.4	60
